Sample,pondID,year,long,lat,SC,Nonindependent,WildSequenced,Species,AxCF1Hybrid,Continent,country
March15_2019_DBunk_MomPE1,DBunk,2019,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March15_2019_DBunk_MomPE20,DBunk,2019,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_10,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_18,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_21,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_22,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_23,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_26,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_37,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_38,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_40,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_41,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_42,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
March20_2018_DBunk_43,DBunk,2018,-2.09237,50.64259,G,0,1,Daphnia obtusa,0,Europe,Daphnia.obtusa.Europe.GBR
index_8nt_N7_10-index_8nt_N5_184_SL378835_Spring_2018_Pond19_50,Pond19,2018,-0.607703,51.087745,,NA,NA,Daphnia obtusa,NA,Europe,Daphnia.obtusa.Europe.GBR
SRR5012393,,NA,-87.7366,40.1224,,NA,NA,Daphnia obtusa,NA,NorthAmerica,Daphnia.obtusa.NorthAmerica.USA
SRR5012394,,NA,-87.7366,40.1224,,NA,NA,Daphnia obtusa,NA,NorthAmerica,Daphnia.obtusa.NorthAmerica.USA
SRR5012395,,NA,-87.7366,40.1224,,NA,NA,Daphnia obtusa,NA,NorthAmerica,Daphnia.obtusa.NorthAmerica.USA
SRR5012396,,NA,-87.7366,40.1224,,NA,NA,Daphnia obtusa,NA,NorthAmerica,Daphnia.obtusa.NorthAmerica.USA
SRR5012770,,NA,-87.7366,40.1224,,NA,NA,Daphnia obtusa,NA,NorthAmerica,Daphnia.obtusa.NorthAmerica.USA
SRR5012771,,NA,-87.7366,40.1224,,NA,NA,Daphnia obtusa,NA,NorthAmerica,Daphnia.obtusa.NorthAmerica.USA
SRR5012772,,NA,-87.7366,40.1224,,NA,NA,Daphnia obtusa,NA,NorthAmerica,Daphnia.obtusa.NorthAmerica.USA
SRR5012773,,NA,-87.7366,40.1224,,NA,NA,Daphnia obtusa,NA,NorthAmerica,Daphnia.obtusa.NorthAmerica.USA
April17_2018_D8_Male1,D8,2018,-2.091652,50.64256,OO,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April17_2018_D8_Male2,D8,2018,-2.091652,50.64256,T,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April17_2018_D8_Male3,D8,2018,-2.091652,50.64256,X,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April17_2018_D8_Male4,D8,2018,-2.091652,50.64256,AB,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April17_2018_D8_Male5,D8,2018,-2.091652,50.64256,Q,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April29_2018_D8_MomPE1,D8,2018,-2.091652,50.64256,OO,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April29_2018_D8_MomPE2,D8,2018,-2.091652,50.64256,AB,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April29_2018_D8_MomPE3,D8,2018,-2.091652,50.64256,U,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April29_2018_D8_MomPE4,D8,2018,-2.091652,50.64256,OO,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April29_2018_D8_MomPE5,D8,2018,-2.091652,50.64256,U,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_Male1,DBunk,2018,-2.09237,50.64259,OO,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_Male2,DBunk,2018,-2.09237,50.64259,I,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_Male3,DBunk,2018,-2.09237,50.64259,U,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_Male4,DBunk,2018,-2.09237,50.64259,N,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_Male5,DBunk,2018,-2.09237,50.64259,J,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_MomPE1,DBunk,2018,-2.09237,50.64259,I,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_MomPE2,DBunk,2018,-2.09237,50.64259,N,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_MomPE3,DBunk,2018,-2.09237,50.64259,OO,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_MomPE4,DBunk,2018,-2.09237,50.64259,AC,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DBunk_MomPE5,DBunk,2018,-2.09237,50.64259,Q,0,1,Daphnia pulex,1,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_Male1,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_Male2,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_Male3,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_Male4,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_Male5,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_MomPE1,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_MomPE2,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_MomPE3,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_MomPE4,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April29_2018_DCat_MomPE5,DCat,2018,-2.09121,50.64245,B,0,1,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_101,D8,2017,-2.091652,50.64256,R,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_103,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_119,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_125,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_130,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_131,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_132,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_133,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_134,D8,2017,-2.091652,50.64256,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_135,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_136,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_137,D8,2017,-2.091652,50.64256,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_141,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_142,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_143,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_147,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_150,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_151,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_157,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_165,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_167,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_17,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_175,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_179,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_18,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_183,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_191,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_201,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_202,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_203,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_205,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_209,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_210,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_211,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_212,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_213,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_214,D8,2017,-2.091652,50.64256,roC,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_215,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_222,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_223,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_227,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_230,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_239,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_248,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_249,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_251,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_254,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_256,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_27,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_285,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_298,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_304,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_305,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_32,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_326,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_338,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_342,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_349,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_355,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_359,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_360,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_373,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_399,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_47,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_48,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_515R,D8,2017,-2.091652,50.64256,C,1,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_55,D8,2017,-2.091652,50.64256,R,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_58,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_60,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_65,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_73,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_77,D8,2017,-2.091652,50.64256,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_79,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_9,D8,2017,-2.091652,50.64256,R,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_D8_91,D8,2017,-2.091652,50.64256,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_103,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_108,DBunk,2017,-2.09237,50.64259,L,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_11,DBunk,2017,-2.09237,50.64259,K,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_111,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_112,DBunk,2017,-2.09237,50.64259,M,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_119,DBunk,2017,-2.09237,50.64259,AD,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_121,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_128,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_129,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_13,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_131,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_132,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_133,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_137,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_139,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_142,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_145,DBunk,2017,-2.09237,50.64259,K,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_147,DBunk,2017,-2.09237,50.64259,E,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_148,DBunk,2017,-2.09237,50.64259,E,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_149,DBunk,2017,-2.09237,50.64259,L,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_151,DBunk,2017,-2.09237,50.64259,L,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_152,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_153,DBunk,2017,-2.09237,50.64259,E,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_154,DBunk,2017,-2.09237,50.64259,E,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_160,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_162,DBunk,2017,-2.09237,50.64259,F,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_185,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_19,DBunk,2017,-2.09237,50.64259,F,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_203,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_21,DBunk,2017,-2.09237,50.64259,Y,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_213,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_230,DBunk,2017,-2.09237,50.64259,F,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_232,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_233,DBunk,2017,-2.09237,50.64259,Y,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_237,DBunk,2017,-2.09237,50.64259,F,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_248,DBunk,2017,-2.09237,50.64259,AE,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_253,DBunk,2017,-2.09237,50.64259,L,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_254,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_26,DBunk,2017,-2.09237,50.64259,A,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_263,DBunk,2017,-2.09237,50.64259,F,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_266,DBunk,2017,-2.09237,50.64259,M,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_268,DBunk,2017,-2.09237,50.64259,AE,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_27,DBunk,2017,-2.09237,50.64259,M,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_28,DBunk,2017,-2.09237,50.64259,M,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_297,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_3,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_302,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_314,DBunk,2017,-2.09237,50.64259,L,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_36,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_38,DBunk,2017,-2.09237,50.64259,M,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_45,DBunk,2017,-2.09237,50.64259,F,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_5,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_50,DBunk,2017,-2.09237,50.64259,K,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_52,DBunk,2017,-2.09237,50.64259,K,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_6,DBunk,2017,-2.09237,50.64259,L,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_63,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_65,DBunk,2017,-2.09237,50.64259,K,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_7,DBunk,2017,-2.09237,50.64259,F,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_71,DBunk,2017,-2.09237,50.64259,F,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_76,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_9,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_90,DBunk,2017,-2.09237,50.64259,K,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_91,DBunk,2017,-2.09237,50.64259,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DBunk_96,DBunk,2017,-2.09237,50.64259,K,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DCat_10,DCat,2017,-2.09121,50.64245,poB,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DCat_2,DCat,2017,-2.09121,50.64245,B,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DCat_3,DCat,2017,-2.09121,50.64245,B,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DCat_4,DCat,2017,-2.09121,50.64245,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DCat_5,DCat,2017,-2.09121,50.64245,roB,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DLily_1,DLily,2017,-2.0912,50.64265,V,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DMud_78,DMud,2017,-2.09272,50.64285,C,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
April_2017_DOil_1,DOil,2017,-2.09183,50.64321,OO,0,0,Daphnia pulex,0,Europe,Daphnia.pulex.Europe.GBR
